[2025-05-31 22:37:22] [INFO    ] discord.client: logging in using static token
[2025-05-31 22:37:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'hub_type': None, 'default_message_notifications': 0, 'premium_features': None, 'profile': None, 'voice_states': [], 'icon': None, 'nsfw_level': 0, 'explicit_content_filter': 0, 'id': '1371264562132815872', 'features': [], 'name': "Excentric's server", 'public_updates_channel_id': None, 'system_channel_id': '1371264562132815875', 'afk_channel_id': None, 'unavailable': False, 'large': False, 'threads': [], 'latest_onboarding_question_id': None, 'verification_level': 0, 'presences': [], 'joined_at': '2025-05-11T23:17:11.217000+00:00', 'description': None, 'mfa_level': 0, 'afk_timeout': 300, 'emojis': [], 'inventory_settings': None, 'splash': None, 'max_video_channel_users': 25, 'nsfw': False, 'premium_progress_bar_enabled': False, 'stickers': [], 'max_members': 500000, 'preferred_locale': 'en-US', 'application_command_counts': {}, 'moderator_reporting': None, 'lazy': True, 'safety_alerts_channel_id': None, 'member_count': 2, 'application_id': None, 'system_channel_flags': 0, 'max_stage_video_channel_users': 50, 'stage_instances': [], 'channels': [{'version': 1747005348531, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1371264562132815873', 'flags': 0}, {'version': 1747005348535, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1371264562132815874', 'flags': 0}, {'version': 1747005348547, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1371264562132815873', 'name': 'general', 'last_message_id': '1378562940118110298', 'id': '1371264562132815875', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1747005348555, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1371264562132815874', 'name': 'General', 'last_message_id': None, 'id': '1371264562132815876', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1747589151913, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1371264562132815873', 'name': 'test', 'last_message_id': None, 'id': '1373713211198799893', 'flags': 0}], 'activity_instances': [], 'incidents_data': None, 'owner_id': '195567724141740034', 'premium_subscription_count': 0, 'roles': [{'version': 1747005348529, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1371264562132815872', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747005447445, 'unicode_emoji': None, 'tags': {'bot_id': '1370561278510235699'}, 'position': 1, 'permissions': '328565386304', 'name': 'Project', 'mentionable': False, 'managed': True, 'id': '1371264908741836842', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'banner': None, 'home_header': None, 'guild_scheduled_events': [], 'version': 1747589122671, 'members': [{'user': {'username': 'Project', 'public_flags': 0, 'primary_guild': None, 'id': '1370561278510235699', 'global_name': None, 'display_name': None, 'discriminator': '1814', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371264908741836842'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:17:11.217000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'discovery_splash': None, 'premium_tier': 0, 'embedded_activities': [], 'soundboard_sounds': [], 'vanity_url_code': None, 'region': 'deprecated', 'rules_channel_id': None}}
[2025-05-31 22:37:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-31 22:37:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'b2330695c3adf7a690c7ea838cdfcd6f', 'members': [{'user': {'username': 'eggsentric', 'public_flags': 0, 'primary_guild': None, 'id': '195567724141740034', 'global_name': 'Excentric', 'display_name': 'Excentric', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '907b1ca373b1ffbcbf85da21548eb459'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:15:48.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Project', 'public_flags': 0, 'primary_guild': None, 'id': '1370561278510235699', 'global_name': None, 'display_name': None, 'discriminator': '1814', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1371264908741836842'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:17:11.217000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1371264562132815872', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-31 22:37:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-31 22:37:23] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1371264562132815872.
[2025-05-31 22:37:25] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-31 22:37:25] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-31 22:37:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-01T02:37:30.208000+00:00', 'pinned': False, 'nonce': '1378563077141692416', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:15:48.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1378563077787750451', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/hello', 'components': [], 'channel_type': 0, 'channel_id': '1371264562132815875', 'author': {'username': 'eggsentric', 'public_flags': 0, 'primary_guild': None, 'id': '195567724141740034', 'global_name': 'Excentric', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '907b1ca373b1ffbcbf85da21548eb459'}, 'attachments': [], 'guild_id': '1371264562132815872'}}
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event message
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event command
[2025-05-31 22:37:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-01T02:37:30.346000+00:00', 'pinned': False, 'nonce': '14841521539148217918', 'mentions': [{'username': 'eggsentric', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:15:48.487000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '195567724141740034', 'global_name': 'Excentric', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '907b1ca373b1ffbcbf85da21548eb459'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1371264908741836842'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-11T23:17:11.217000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1378563078366560366', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@195567724141740034>!', 'components': [], 'channel_type': 0, 'channel_id': '1371264562132815875', 'author': {'username': 'Project', 'public_flags': 0, 'primary_guild': None, 'id': '1370561278510235699', 'global_name': None, 'discriminator': '1814', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1371264562132815872'}}
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event message
[2025-05-31 22:37:30] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1371264562132815875/messages with {"content":"Hello <@195567724141740034>!","components":[],"nonce":"14841521539148217918","enforce_nonce":true,"tts":false} has returned 200
[2025-05-31 22:37:30] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-05-31 22:37:30] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1371264562132815875/messages has received {'type': 0, 'content': 'Hello <@195567724141740034>!', 'mentions': [{'id': '195567724141740034', 'username': 'eggsentric', 'avatar': '907b1ca373b1ffbcbf85da21548eb459', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Excentric', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-01T02:37:30.346000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1378563078366560366', 'channel_id': '1371264562132815875', 'author': {'id': '1370561278510235699', 'username': 'Project', 'avatar': None, 'discriminator': '1814', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '14841521539148217918'}
[2025-05-31 22:37:30] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-05-31 22:38:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-05-31 22:38:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
